<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.20	15:00:00	4805.062	4809.510	4792.498	4799.468	19544	0	280
2026.04.20	16:00:00	4799.698	4806.127	4792.696	4805.319	9733	0	280
2026.04.20	17:00:00	4805.379	4812.298	4803.818	4806.870	8320	0	280
2026.04.20	18:00:00	4806.811	4816.587	4806.811	4813.922	7034	0	280
2026.04.20	19:00:00	4813.844	4821.479	4810.376	4814.035	6033	0	280
2026.04.20	20:00:00	4814.096	4822.032	4812.048	4820.814	3878	0	280
2026.04.20	22:00:00	4827.606	4833.038	4820.905	4827.759	6912	0	280
2026.04.20	23:00:00	4827.498	4831.903	4819.857	4821.556	4414	0	280
2026.04.21	00:00:00	4821.618	4830.511	4816.668	4823.646	9879	0	280
2026.04.21	01:00:00	4823.720	4824.449	4805.573	4810.008	11086	0	280
2026.04.21	02:00:00	4810.297	4810.474	4802.291	4806.961	7613	0	280
2026.04.21	03:00:00	4807.029	4807.846	4792.453	4797.283	7635	0	280
2026.04.21	04:00:00	4797.047	4797.975	4788.794	4788.898	6009	0	280
2026.04.21	05:00:00	4788.958	4796.738	4782.955	4784.285	10117	0	280
2026.04.21	06:00:00	4784.220	4790.492	4774.306	4778.955	11841	0	280
2026.04.21	07:00:00	4778.897	4792.741	4772.608	4786.103	9273	0	280
2026.04.21	08:00:00	4786.170	4792.792	4774.515	4786.257	9236	0	280
2026.04.21	09:00:00	4786.191	4789.681	4781.043	4783.815	7538	0	280
2026.04.21	10:00:00	4783.874	4790.400	4780.715	4789.508	5980	0	280
2026.04.21	11:00:00	4789.500	4798.126	4775.150	4794.718	9989	0	280
2026.04.21	12:00:00	4794.777	4797.052	4766.569	4778.602	14914	0	280
2026.04.21	13:00:00	4778.537	4794.231	4760.249	4779.200	24197	0	280
2026.04.21	14:00:00	4779.141	4782.420	4723.305	4738.766	35245	0	280
2026.04.21	15:00:00	4738.710	4757.608	4727.810	4741.546	33230	0	280
2026.04.21	16:00:00	4741.459	4746.787	4707.912	4711.152	20614	0	280
2026.04.21	17:00:00	4711.210	4722.284	4696.825	4710.794	28159	0	280
2026.04.21	18:00:00	4710.737	4714.679	4692.205	4709.045	17713	0	280
2026.04.21	19:00:00	4709.102	4715.166	4668.140	4679.321	31292	0	280
2026.04.21	20:00:00	4679.504	4719.379	4668.722	4718.807	21898	0	280
2026.04.21	22:00:00	4719.794	4729.375	4715.431	4719.310	6221	0	280
2026.04.21	23:00:00	4719.334	4740.380	4718.100	4737.816	6236	0	280
2026.04.22	00:00:00	4738.060	4747.446	4738.060	4739.975	9195	0	280
2026.04.22	01:00:00	4739.625	4754.615	4736.004	4752.272	12640	0	280
2026.04.22	02:00:00	4752.001	4758.887	4750.072	4755.602	7187	0	280
2026.04.22	03:00:00	4755.536	4765.088	4753.151	4758.263	6579	0	280
2026.04.22	04:00:00	4758.310	4759.560	4752.287	4754.635	5796	0	280
2026.04.22	05:00:00	4754.442	4772.196	4752.039	4767.491	10626	0	280
2026.04.22	06:00:00	4767.401	4767.855	4758.713	4767.457	6694	0	280
2026.04.22	07:00:00	4767.397	4772.377	4759.630	4760.654	7777	0	280
2026.04.22	08:00:00	4760.661	4762.336	4751.758	4757.096	7663	0	280
2026.04.22	09:00:00	4757.059	4762.452	4752.188	4755.016	7293	0	280
2026.04.22	10:00:00	4755.093	4760.105	4745.591	4759.200	7507	0	280
2026.04.22	11:00:00	4758.965	4760.835	4747.651	4750.384	7975	0	280
2026.04.22	12:00:00	4750.342	4760.271	4742.753	4744.339	11636	0	280
2026.04.22	13:00:00	4744.268	4760.753	4736.254	4752.714	21932	0	280
2026.04.22	14:00:00	4752.721	4757.252	4730.099	4735.760	18605	0	280
2026.04.22	15:00:00	4735.818	4740.330	4724.910	4727.751	13967	0	280
2026.04.22	16:00:00	4727.836	4735.058	4723.734	4728.534	9917	0	280
2026.04.22	17:00:00	4728.477	4739.408	4728.372	4737.258	9051	0	280
2026.04.22	18:00:00	4737.314	4749.524	4729.799	4741.571	7240	0	280
2026.04.22	19:00:00	4741.736	4745.282	4736.789	4739.997	8061	0	280
2026.04.22	20:00:00	4740.064	4740.528	4734.494	4739.500	4472	0	280
