<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.06	09:30:00	4702.259	4706.725	4700.659	4703.477	2090	0	280
2026.04.06	09:45:00	4703.471	4704.814	4690.919	4693.717	3895	0	280
2026.04.06	10:00:00	4693.771	4697.565	4686.107	4686.889	3107	0	280
2026.04.06	10:15:00	4686.889	4693.155	4686.121	4689.652	2162	0	280
2026.04.06	10:30:00	4689.606	4696.842	4687.861	4695.265	1803	0	280
2026.04.06	10:45:00	4695.292	4695.775	4684.652	4689.920	4712	0	280
2026.04.06	11:00:00	4689.988	4696.890	4688.771	4689.581	2752	0	280
2026.04.06	11:15:00	4689.610	4692.597	4685.295	4688.596	2304	0	280
2026.04.06	11:30:00	4688.367	4694.349	4685.217	4685.434	2468	0	280
2026.04.06	11:45:00	4685.377	4685.910	4676.963	4678.015	2885	0	280
2026.04.06	12:00:00	4677.956	4686.760	4671.527	4672.649	2806	0	280
2026.04.06	12:15:00	4672.294	4674.208	4659.481	4666.135	4154	0	280
2026.04.06	12:30:00	4666.199	4678.909	4665.636	4676.913	3319	0	280
2026.04.06	12:45:00	4677.026	4681.214	4674.014	4675.950	2507	0	280
2026.04.06	13:00:00	4675.986	4677.586	4662.188	4668.750	4210	0	280
2026.04.06	13:15:00	4668.835	4673.396	4659.629	4668.465	3442	0	280
2026.04.06	13:30:00	4668.894	4679.131	4660.669	4665.751	11819	0	280
2026.04.06	13:45:00	4665.809	4681.621	4661.456	4679.732	9048	0	280
2026.04.06	14:00:00	4680.182	4690.928	4660.127	4672.575	8987	0	280
2026.04.06	14:15:00	4672.635	4688.475	4670.451	4685.830	7154	0	280
2026.04.06	14:30:00	4685.888	4697.730	4678.219	4684.675	10177	0	280
2026.04.06	14:45:00	4684.767	4688.372	4674.965	4682.923	7069	0	280
2026.04.06	15:00:00	4682.997	4684.023	4661.300	4662.473	7027	0	280
2026.04.06	15:15:00	4662.408	4669.970	4655.180	4667.113	5909	0	280
2026.04.06	15:30:00	4667.181	4671.005	4652.024	4660.371	5084	0	280
2026.04.06	15:45:00	4660.281	4669.124	4659.308	4668.211	3568	0	280
2026.04.06	16:00:00	4668.087	4671.369	4662.337	4670.486	3633	0	280
2026.04.06	16:15:00	4670.221	4672.593	4664.648	4665.781	3031	0	280
2026.04.06	16:30:00	4665.705	4671.176	4662.586	4663.446	2937	0	280
2026.04.06	16:45:00	4663.510	4666.822	4657.663	4660.499	3785	0	280
2026.04.06	17:00:00	4660.566	4661.118	4645.560	4653.963	6187	0	280
2026.04.06	17:15:00	4653.788	4660.234	4650.175	4656.188	4193	0	280
2026.04.06	17:30:00	4656.260	4660.399	4652.495	4656.400	3029	0	280
2026.04.06	17:45:00	4656.479	4657.297	4651.559	4653.739	2401	0	280
2026.04.06	18:00:00	4653.796	4666.483	4650.806	4659.446	4002	0	280
2026.04.06	18:15:00	4659.511	4664.152	4659.070	4660.331	2986	0	280
2026.04.06	18:30:00	4660.332	4663.306	4648.899	4650.386	2646	0	280
2026.04.06	18:45:00	4650.323	4659.065	4648.607	4658.181	2392	0	280
2026.04.06	19:00:00	4658.186	4659.412	4650.092	4650.860	2361	0	280
2026.04.06	19:15:00	4650.839	4651.460	4645.316	4649.970	2290	0	280
2026.04.06	19:30:00	4649.904	4653.643	4648.482	4651.569	1780	0	280
2026.04.06	19:45:00	4651.507	4658.144	4651.379	4655.213	2246	0	280
2026.04.06	20:00:00	4655.274	4657.314	4652.054	4657.118	1346	0	280
2026.04.06	20:15:00	4656.818	4658.074	4655.265	4655.981	945	0	280
2026.04.06	20:30:00	4655.806	4658.360	4651.133	4653.027	1178	0	280
2026.04.06	20:45:00	4652.942	4654.341	4648.982	4649.944	967	0	280
2026.04.06	22:00:00	4661.087	4667.962	4660.547	4663.984	2179	0	280
2026.04.06	22:15:00	4664.030	4666.248	4659.137	4662.291	1450	0	280
2026.04.06	22:30:00	4662.182	4663.067	4659.170	4659.426	897	0	280
2026.04.06	22:45:00	4659.364	4662.286	4656.853	4658.245	902	0	280
2026.04.06	23:00:00	4658.452	4661.165	4657.052	4660.136	985	0	280
2026.04.06	23:15:00	4659.842	4660.787	4653.418	4654.673	946	0	280
2026.04.06	23:30:00	4654.586	4656.394	4651.622	4654.937	979	0	280
2026.04.06	23:45:00	4655.189	4660.311	4654.404	4658.623	1317	0	280
2026.04.07	00:00:00	4658.976	4660.711	4648.955	4657.684	3812	0	280
2026.04.07	00:15:00	4657.626	4661.070	4656.126	4658.956	2492	0	280
